name,calories,protein,carbs,fat
"Arroz, integral, cozido",123.534893,2.58825,25.80975,1.000333
"Arroz, integral, cru",359.678002,7.323286,77.450714,1.864833
"Arroz, tipo 1, cozido",128.258486,2.520817,28.05985,0.227
"Arroz, tipo 1, cru",357.789273,7.15854,78.759543,0.335
"Arroz, tipo 2, cozido",130.119648,2.568417,28.192583,0.361667
"Arroz, tipo 2, cru",358.116761,7.241883,78.88145,0.2755
"Aveia, flocos, crua",393.822689,13.921026,66.635641,8.496667
"Biscoito, doce, maisena",442.81939,8.072522,75.234145,11.966667
"Biscoito, doce, recheado com chocolate",471.82478,6.397217,70.549449,19.583333
"Biscoito, doce, recheado com morango",471.174736,5.719826,71.013507,19.573333
"Biscoito, doce, wafer, recheado de chocolate",502.456858,5.564522,67.535478,24.673333
"Biscoito, doce, wafer, recheado de morango",513.446183,4.517043,67.352957,26.4
"Biscoito, salgado, cream cracker",431.732281,10.05513,68.731536,14.436667
"Bolo, mistura para",418.633333,6.15942,84.713913,6.126667
"Bolo, pronto, aipim",323.851667,4.416667,47.864,12.747667
"Bolo, pronto, chocolate",410.013667,6.222917,54.71775,18.472333
"Bolo, pronto, coco",333.437667,5.666667,52.276,11.296333
"Bolo, pronto, milho",311.387,4.804167,45.108833,12.415
"Canjica, branca, crua",357.60259,7.2,78.061,0.971
"Canjica, com leite integral",112.456777,2.3606,23.627733,1.244333
"Cereais, milho, flocos, com sal",369.59975,7.291667,80.835,1.603333
"Cereais, milho, flocos, sem sal",363.338317,6.875,80.448333,1.183333
"Cereais, mingau, milho, infantil",394.427522,6.431159,87.265507,1.093333
"Cereais, mistura para vitamina, trigo, cevada e aveia",381.133333,8.895833,81.6175,2.12
"Cereal matinal, milho",365.354164,7.155797,83.824203,0.956667
"Cereal matinal, milho, açúcar",376.555254,4.742754,88.84058,0.666667
"Creme de arroz, pó",386.00119,7.02695,83.869384,1.226
"Creme de milho, pó",333.034193,4.820833,86.1485,1.639333
"Curau, milho verde",78.433818,2.3606,13.9444,1.637
"Curau, milho verde, mistura para",402.286577,2.222917,79.816417,13.371333
"Farinha, de arroz, enriquecida",363.05648,1.269333,85.504,0.3
"Farinha, de centeio, integral",335.777663,12.515067,73.298267,1.753333
"Farinha, de milho, amarela",350.586933,7.1875,79.079167,1.466667
"Farinha, de rosca",370.578097,11.381,75.785667,1.463333
"Farinha, de trigo",360.472979,9.790783,75.092551,1.366667
"Farinha, láctea, de cereais",414.850517,11.87913,77.77087,5.79
"Lasanha, massa fresca, cozida",163.763667,5.8125,32.522167,1.158333
"Lasanha, massa fresca, crua",220.305667,7.008333,45.058333,1.337667
"Macarrão, instantâneo",435.864781,8.79168,62.431653,17.236667
"Macarrão, trigo, cru",371.122613,9.995652,77.944348,1.303333
"Macarrão, trigo, cru, com ovos",370.567113,10.3208,76.622533,1.97
"Milho, amido, cru",361.366824,0.597826,87.148844,0
"Milho, fubá, cru",353.482268,7.213768,78.872899,1.903333
"Milho, verde, cru",138.166565,6.589583,28.55575,0.609
"Milho, verde, enlatado, drenado",97.564894,3.228261,17.135072,2.353333
"Mingau tradicional, pó",373.421467,0.583333,89.336667,0.37
"Pamonha, barra para cozimento, pré-cozida",171.219112,2.552083,30.684917,4.849667
"Pão, aveia, forma",343.085367,12.35,59.566667,5.693333
"Pão, de soja",308.726323,11.343,56.510333,3.58
"Pão, glúten, forma",252.99403,11.951,44.119,2.726667
"Pão, milho, forma",292.01349,8.303,56.397,3.11
"Pão, trigo, forma, integral",253.193618,9.425167,49.9415,3.653333
"Pão, trigo, francês",299.81015,7.953565,58.646435,3.103333
"Pão, trigo, sovado",310.96494,8.398,61.452,2.84
"Pastel, de carne, cru",288.702072,10.7407,42.016634,8.793
"Pastel, de carne, frito",388.374652,10.1042,43.7678,20.136667
"Pastel, de queijo, cru",308.474434,9.8534,45.947934,9.634667
"Pastel, de queijo, frito",422.11208,8.7096,48.132734,22.670333
"Pastel, massa, crua",310.202514,6.9027,57.379633,5.477
"Pastel, massa, frita",569.672459,6.0192,49.343133,40.860333
"Pipoca, com óleo de soja, sem sal",448.334262,9.927083,70.312583,15.941
"Polenta, pré-cozida",102.741167,2.291667,23.311667,0.303333
"Torrada, pão francês",377.422283,10.5241,74.5559,3.301
"Abóbora, cabotian, cozida",48.043743,1.44375,10.760917,0.729333
"Abóbora, cabotian, crua",38.599294,1.746377,8.36029,0.536667
"Abóbora, menina brasileira, crua",13.605674,0.608696,3.301304,0
"Abóbora, moranga, crua",12.364436,0.960145,2.666522,0.06
"Abóbora, moranga, refogada",29.003822,0.39375,5.981917,0.799
"Abóbora, pescoço, crua",24.466268,0.670833,6.122833,0.116
"Abobrinha, italiana, cozida",15.03852,1.125,2.977,0.199
"Abobrinha, italiana, crua",19.279126,1.141304,4.292029,0.14
"Abobrinha, italiana, refogada",24.429602,1.06875,4.186917,0.821333
"Abobrinha, paulista, crua",30.810702,0.639583,7.86742,0.139
"Acelga, crua",20.942342,1.44375,4.630917,0.106
"Agrião, cru",16.578801,2.688406,2.251594,0.236667
"Aipo, cru",19.091457,0.758333,4.272333,0.069
"Alface, americana, crua",8.794903,0.608333,1.745333,0.129
"Alface, crespa, crua",10.680857,1.347826,1.695507,0.16
"Alface, lisa, crua",13.820901,1.688406,2.428261,0.123333
"Alface, roxa, crua",12.716997,0.90625,2.493417,0.191667
"Alfavaca, crua",29.183613,2.658333,5.241,0.476333
"Alho, cru",113.129878,7.01087,23.905797,0.22
"Alho-poró, cru",31.507919,1.4125,6.878167,0.139667
"Almeirão, cru",18.034429,1.768116,3.335217,0.216667
"Almeirão, refogado",65.081911,1.704167,5.7015,4.847
"Batata, baroa, cozida",80.119763,0.852083,18.947583,0.166333
"Batata, baroa, crua",100.984923,1.047101,23.982899,0.17
"Batata, doce, cozida",76.759611,0.641667,18.422333,0.087667
"Batata, doce, crua",118.241375,1.257246,28.196087,0.133333
"Batata, frita, tipo chips, industrializada",542.734673,5.583333,51.222333,36.615
"Batata, inglesa, cozida",51.588477,1.164583,11.94375,0
"Batata, inglesa, crua",64.370226,1.771739,14.688261,0
"Batata, inglesa, frita",267.157423,4.966667,35.640333,13.108667
"Batata, inglesa, sauté",67.887936,1.291667,14.093,0.896333
"Berinjela, cozida",18.845286,0.677083,4.46825,0.148333
"Berinjela, crua",19.627754,1.221014,4.428986,0.1
"Beterraba, cozida",32.154324,1.29375,7.234917,0.092667
"Beterraba, crua",48.828509,1.945652,11.111014,0.09
"Biscoito, polvilho doce",437.549,1.291667,80.535333,12.249
"Brócolis, cozido",24.636163,2.133333,4.366667,0.459
"Brócolis, cru",25.495132,3.644928,4.025072,0.266667
"Cará, cozido",77.584913,1.529167,18.8525,0.112333
"Cará, cru",95.633135,2.282609,22.954058,0.136667
"Caruru, cru",34.03163,3.2,5.974,0.585
"Catalonha, crua",23.888412,1.86875,4.75225,0.282333
"Catalonha, refogada",63.449269,1.95,4.809333,4.805667
"Cebola, crua",39.420046,1.710145,8.853188,0.08
"Cebolinha, crua",19.515886,1.865942,3.370725,0.35
"Cenoura, cozida",29.861778,0.847917,6.68675,0.218333
"Cenoura, crua",34.135388,1.322464,7.66,0.173333
"Chicória, crua",13.83712,1.137681,2.853333,0.143333
"Chuchu, cozido",18.539791,0.414583,4.793417,0
"Chuchu, cru",16.978919,0.699275,4.137391,0.06
"Coentro, folhas desidratadas",309.070747,20.875,47.955,10.386667
"Couve, manteiga, crua",27.056697,2.873188,4.333478,0.546667
"Couve, manteiga, refogada ",90.344815,1.666667,8.707667,6.594
"Couve-flor, crua",22.563349,1.905797,4.517536,0.213333
"Couve-flor, cozida",19.114141,1.239583,3.875417,0.269333
"Espinafre, Nova Zelândia, cru",16.095694,1.996377,2.573623,0.243333
"Espinafre, Nova Zelândia, refogado",67.253652,2.71875,4.238583,5.434667
"Farinha, de mandioca, crua",360.869699,1.554348,87.898986,0.276667
"Farinha, de mandioca, torrada",365.268975,1.229167,89.194167,0.286667
"Farinha, de puba",360.179775,1.616667,87.285333,0.469
"Fécula, de mandioca",330.850558,0.520833,81.149167,0.283333
"Feijão, broto, cru",38.723236,4.166667,7.758333,0.102667
"Inhame, cru",96.699832,2.050725,23.232609,0.213333
"Jiló, cru",27.365143,1.402174,6.191159,0.22
"Jurubeba, crua",125.811635,4.4125,23.059167,3.909667
"Mandioca, cozida",125.35825,0.575,30.09,0.298333
"Mandioca, crua",151.416957,1.130435,36.169565,0.3
"Mandioca, farofa, temperada",405.693942,2.0625,80.304167,9.12
"Mandioca, frita",300.055243,1.38125,50.251417,11.195
"Manjericão, cru",21.147677,1.985507,3.644493,0.393333
"Maxixe, cru",13.747236,1.391304,2.728696,0.073
"Mostarda, folha, crua",18.107389,2.110417,3.236583,0.167667
"Nhoque, batata, cozido",180.775274,5.858333,36.78,1.943333
"Nabo, cru",18.186625,1.202899,4.147101,0.053333
"Palmito, juçara, em conserva",23.199716,1.791667,4.328333,0.403333
"Palmito, pupunha, em conserva",29.431963,2.458333,5.509,0.45
"Pão, de queijo, assado",363.077913,5.120833,34.2415,24.567333
"Pão, de queijo, cru",294.538,3.648,38.512,13.988667
"Pepino, cru",9.533691,0.869565,2.037101,0
"Pimentão, amarelo, cru",27.927459,1.224638,5.962029,0.436667
"Pimentão, verde, cru",21.285881,1.050725,4.892609,0.15
"Pimentão, vermelho, cru",23.281364,1.039855,5.466812,0.146667
"Polvilho, doce",351.226733,0.43,86.773333,0
"Quiabo, cru",29.939262,1.91875,6.373917,0.299
"Rabanete, cru",13.738126,1.391304,2.725362,0.073333
"Repolho, branco, cru",17.118803,0.876812,3.859855,0.143333
"Repolho, roxo, cru",30.907503,1.908333,7.204,0.063667
"Repolho, roxo, refogado",41.773525,1.802083,7.561583,1.240333
"Rúcula, crua",13.133257,1.766667,2.219667,0.107333
"Salsa, crua",33.424112,3.257246,5.706087,0.61
"Seleta de legumes, enlatada",56.533772,3.42029,12.66971,0.353333
"Serralha, crua",30.397934,2.672917,4.94675,0.742667
"Taioba, crua",34.208918,2.895833,5.4305,0.926667
"Tomate, com semente, cru",15.335157,1.097826,3.138841,0.173333
"Tomate, extrato",60.933434,2.434783,14.958617,0.19
"Tomate, molho industrializado",38.446549,1.375,7.711667,0.903333
"Tomate, purê",27.93688,1.362319,6.894348,0
"Tomate, salada",20.546909,0.810417,5.117917,0
"Vagem, crua",24.898358,1.786232,5.347101,0.173333
"Abacate, cru",96.154709,1.23913,6.03087,8.396667
"Abacaxi, cru",48.322213,0.858696,12.334638,0.123333
"Abacaxi, polpa, congelada",30.591799,0.466667,7.798667,0.113333
"Abiu, cru",62.424098,0.833333,14.927,0.703333
"Açaí, polpa, com xarope de guaraná e glucose",110.29759,0.720833,21.455167,3.660333
"Açaí, polpa, congelada",58.045369,0.797917,6.208417,3.944333
"Acerola, crua",33.46227,0.90625,7.966417,0.207667
"Acerola, polpa, congelada",21.9368,0.591667,5.541333,0
"Ameixa, calda, enlatada ",182.84662,0.408333,46.892667,0
"Ameixa, crua",52.542483,0.771739,13.851594,0
"Ameixa, em calda, enlatada, drenada ",177.359185,1.025,47.658,0.280333
"Atemóia, crua",96.971587,0.970833,25.332167,0.300333
"Banana, da terra, crua",128.024452,1.434783,33.665217,0.24
"Banana, doce em barra",280.105193,2.16875,75.666583,0.05
"Banana, figo, crua",105.08265,1.13125,27.804417,0.141667
"Banana, maçã, crua",86.80533,1.753623,22.336377,0.06
"Banana, nanica, crua",91.528848,1.398551,23.848116,0.116667
"Banana, ouro, crua",112.366048,1.481884,29.341449,0.21
"Banana, pacova, crua",77.909528,1.227083,20.312583,0.079
"Banana, prata, crua",98.249702,1.268116,25.956884,0.065
"Cacau, cru",74.29148,0.954167,19.411167,0.144
"Cajá-Manga, cru",45.580969,1.279167,11.434167,0
"Cajá, polpa, congelada",26.332269,0.589583,6.374417,0.167667
"Caju, cru",43.065069,0.971014,10.288989,0.33
"Caju, polpa, congelada",36.56868,0.48125,9.35075,0.154
"Caju, suco concentrado, envasado",45.108627,0.404167,10.733833,0.2
"Caqui, chocolate, cru",71.350018,0.35625,19.32575,0.069333
"Carambola, crua",45.740889,0.870833,11.4815,0.177
"Ciriguela, crua",75.59411,1.397917,18.857417,0.359667
"Cupuaçu, cru",49.422559,1.160417,10.433583,0.951333
"Cupuaçu, polpa, congelada",48.79689,0.84375,11.386917,0.593667
"Figo, cru",41.447126,0.967391,10.245942,0.156667
"Figo, enlatado, em calda",184.360717,0.561594,50.338406,0.15
"Fruta-pão, crua",67.04562,1.08125,17.174417,0.189333
"Goiaba, branca, com casca, crua",51.737748,0.898551,12.401449,0.486667
"Goiaba, doce em pasta",268.959826,0.57971,74.123623,0
"Goiaba, doce, cascão",285.587792,0.414583,78.70275,0.103333
"Goiaba, vermelha, com casca, crua",54.16993,1.086957,13.00971,0.44
"Graviola, crua",61.621898,0.845833,15.8395,0.21
"Graviola, polpa, congelada",38.27387,0.566667,9.782667,0.137667
"Jabuticaba, crua",58.05315,0.6125,15.255833,0.128333
"Jaca, crua",87.92035,1.402083,22.497583,0.265
"Jambo, cru",26.9123,0.885417,6.49425,0.066667
"Jamelão, cru",41.009709,0.545833,10.627167,0.109667
"Kiwi, cru",51.13633,1.336957,11.49971,0.626667
"Laranja, baía, crua",45.438117,0.978261,11.468406,0.103333
"Laranja, baía, suco",36.649483,0.652174,8.697826,0
"Laranja, da terra, crua",51.471129,1.077083,12.860583,0.185667
"Laranja, da terra, suco",40.956007,0.666667,9.573333,0.142
"Laranja, lima, crua",45.701039,1.05625,11.53375,0.075333
"Laranja, lima, suco",39.336094,0.714583,9.167417,0.119333
"Laranja, pêra, crua",36.773765,1.043478,8.946522,0.126667
"Laranja, pêra, suco",32.709754,0.73913,7.554203,0.073333
"Laranja, valência, crua",46.109629,0.766667,11.723,0.159
"Laranja, valência, suco",36.196351,0.483333,8.554,0.124333
"Limão, cravo, suco",14.103733,0.325,5.246667,0
"Limão, galego, suco",22.225043,0.565217,7.321449,0.066667
"Limão, tahiti, cru",31.818153,0.939583,11.084417,0.14
"Maçã, Argentina, com casca, crua",62.531818,0.225,16.588,0.246
"Maçã, Fuji, com casca, crua",55.5152,0.286667,15.153333,0
"Macaúba, crua",404.281877,2.0829,13.945433,40.656667
" Mamão, doce em calda, drenado",195.627475,0.19375,54.003583,0.067333
"Mamão, Formosa, cru",45.340748,0.815217,11.554783,0.12
"Mamão, Papaia, cru",40.156769,0.45625,10.43975,0.124333
" Mamão verde, doce em calda, drenado",209.376254,0.316667,57.636667,0.098
"Manga, Haden, crua",63.500318,0.408333,16.662667,0.256
"Manga, Palmer, crua",72.486738,0.410417,19.35225,0.172
"Manga, polpa, congelada",48.30588,0.38125,12.518417,0.234
"Manga, Tommy Atkins, crua",50.692183,0.855072,12.771594,0.22
"Maracujá, cru",68.439509,1.98913,12.264203,2.103333
"Maracujá, polpa, congelada",38.7597,0.8125,9.5975,0.176667
"Maracujá, suco concentrado, envasado",41.96732,0.766667,9.636,0.193333
"Melancia, crua",32.606626,0.884058,8.139275,0
"Melão, cru",29.369391,0.677536,7.525797,0
"Mexerica, Murcote, crua",57.592778,0.883333,14.862,0.134
"Mexerica, Rio, crua",36.87135,0.65,9.337,0.128333
"Morango, cru",30.147917,0.894928,6.818406,0.31
"Nêspera, crua",42.539199,0.308333,11.528667,0
"Pequi, cru",204.96677,2.335417,12.972917,17.971
"Pêra, Park, crua",60.58859,0.235417,16.074917,0.230333
"Pêra, Williams, crua",53.309048,0.565217,14.024783,0.11
"Pêssego, Aurora, cru",36.327599,0.825,9.321,0
"Pêssego, enlatado, em calda",63.142435,0.706522,16.880145,0
"Pinha, crua",88.473528,1.485417,22.447917,0.319
"Pitanga, crua",41.41553,0.929167,10.244167,0.169
"Pitanga, polpa, congelada",19.10546,0.285417,4.758583,0.121333
"Romã, crua",55.739,0.404167,15.105833,0
"Tamarindo, cru",275.695643,3.20625,72.53175,0.455
"Tangerina, Poncã, crua",37.8306,0.847826,9.61,0.073333
"Tangerina, Poncã, suco",36.1088,0.521739,8.8,0
"Tucumã, cru",262.015195,2.09375,26.474583,19.076667
"Umbu, cru",37.01669,0.841667,9.395333,0
"Umbu, polpa, congelada",33.94329,0.5125,8.786833,0.070333
"Uva, Itália, crua",52.8731,0.746377,13.573333,0.203333
"Uva, Rubi, crua",49.06129,0.608333,12.695333,0.157
"Uva, suco concentrado, envasado",57.65536,0,14.708,0
"Azeite, de dendê",884,0,0,100
"Azeite, de oliva, extra virgem",884,0,0,100
"Manteiga, com sal",725.968927,0.4147,0.0633,82.361
"Manteiga, sem sal",757.540461,0.39556,0,86.039333
"Margarina, com óleo hidrogenado, com sal (65% de lipídeos)",596.119517,0,0,67.434333
"Margarina, com óleo hidrogenado, sem sal (80% de lipídeos)",722.525626,0,0,81.733667
"Margarina, com óleo interesterificado, com sal (65%de lipídeos)",594.451693,0,0,67.245667
"Margarina, com óleo interesterificado, sem sal (65% de lipídeos)",593.13749,0,0,67.097
"Óleo, de babaçu",884,0,0,100
"Óleo, de canola",884,0,0,100
"Óleo, de girassol",884,0,0,100
"Óleo, de milho",884,0,0,100
"Óleo, de pequi",884,0,0,100
"Óleo, de soja",884,0,0,100
"Abadejo, filé, congelado, assado",111.615503,23.525,0,1.237667
"Abadejo, filé, congelado,cozido",91.103548,19.345833,0,0.942
"Abadejo, filé, congelado, cru",59.113033,13.083333,0,0.36
"Abadejo, filé, congelado, grelhado",129.643526,27.610417,0,1.302333
"Atum, conserva em óleo",165.910561,26.1875,0,5.996667
"Atum, fresco, cru",117.501,25.68,0,0.87
"Bacalhau, salgado, cru",135.892967,29.036667,0,1.32
"Bacalhau, salgado, refogado",139.660701,23.979167,1.224167,3.606667
"Cação, posta, com farinha de trigo, frita",208.332744,24.952083,3.100583,9.954333
"Cação, posta, cozida",116.014481,25.589583,0,0.748
"Cação, posta, crua",83.333025,17.854167,0,0.786667
"Camarão, Rio Grande, grande, cozido",90.01368,18.966667,0,1.000667
"Camarão, Rio Grande, grande, cru",47.183437,9.991667,0,0.501
"Camarão, Sete Barbas, sem cabeça, com casca, frito",231.246154,18.3875,2.879833,15.620333
"Caranguejo, cozido",82.721502,18.479167,0,0.423
"Corimba, cru",128.1554,17.366667,-0.026667,5.986667
"Corimbatá, assado",261.452439,19.897917,0,19.566333
"Corimbatá, cozido",238.696105,20.13125,0,16.933
"Corvina de água doce, crua",101.009033,18.916667,0,2.243333
"Corvina do mar, crua",94,18.57,0,1.583333
"Corvina grande, assada",146.528141,26.766667,0,3.573667
"Corvina grande, cozida",100.078125,23.4375,0,2.562667
"Dourada de água doce, fresca",131.208315,18.810417,0,5.641667
"Lambari, congelado, cru",130.840311,16.8125,0,6.546667
"Lambari, congelado, frito",326.8684,28.425,0,22.782
"Lambari, fresco, cru",151.598347,15.652083,0,9.397333
"Manjuba, com farinha de trigo, frita",343.550459,23.45,10.240333,22.593
"Manjuba, frita",349.325231,30.139583,0,24.46
"Merluza, filé, assado",121.910218,26.604167,0,0.921333
"Merluza, filé, cru",89.130867,16.606667,0,2.02
